config,environment,study,size,variant,run,usable,had_restart,max_iteration,n_points,note
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim4,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim64,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim64,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim64,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim64,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim64,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim8,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim8,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim8,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim8,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_16agents_ppo,rendezvous,embedding,16,embed_dim8,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim128,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim128,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim128,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim128,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim128,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim16,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim16,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim16,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim16,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim16,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim32,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim32,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim32,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim32,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim32,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim4,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim4,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim4,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim4,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim4,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim64,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim64,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim64,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim64,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim64,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim8,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim8,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim8,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim8,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_50agents_ppo,rendezvous,embedding,50,embed_dim8,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim128,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim128,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim128,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim128,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim128,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim16,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim16,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim16,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim16,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim16,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim32,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim32,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim32,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim32,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim32,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim4,PPO_1,True,True,500,500,multiple event files / duplicate steps merged; kept last write per step
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim4,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim4,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim4,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim4,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim64,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim64,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim64,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim64,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim64,PPO_5,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim8,PPO_1,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim8,PPO_2,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim8,PPO_3,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim8,PPO_4,True,False,500,500,
embedding_scaling_rendezvous_100agents_ppo,rendezvous,embedding,100,embed_dim8,PPO_5,True,False,500,500,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim128,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim128,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim128,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim128,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim128,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim16,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim16,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim16,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim16,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim16,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim32,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim32,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim32,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim32,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim32,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim4,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim4,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim4,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim4,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim4,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim64,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim64,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim64,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim64,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim64,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim8,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim8,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim8,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim8,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_4agents_ppo,pursuit_evasion,embedding,4,embed_dim8,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim128,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim128,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim128,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim128,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim128,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim16,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim16,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim16,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim16,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim16,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim32,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim32,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim32,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim32,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim32,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim4,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim4,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim4,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim4,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim4,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim64,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim64,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim64,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim64,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim64,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim8,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim8,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim8,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim8,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_16agents_ppo,pursuit_evasion,embedding,16,embed_dim8,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim128,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim128,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim128,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim128,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim128,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim16,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim16,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim16,PPO_3,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim16,PPO_4,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim16,PPO_5,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim32,PPO_1,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim32,PPO_2,True,False,1000,998,
embedding_scaling_pursuit_evasion_50agents_ppo,pursuit_evasion,embedding,50,embed_dim32,PPO_3,True,False,1000,998,
